transaction_id,timestamp,quarter,customer_id,customer_type,category,unit_price,quantity,discount_pct,revenue,cost,cost_revenue_ratio,payment_method,transaction_fee,location_type,shipping_cost,is_returned,return_cost,satisfaction_score,profit,profit_margin_pct
TXN_004072,2023-07-01 10:04:23,1,CUST_03112,New,Clothing,117.8,1,13.63,101.74,99.32,97.62,Credit Card,2.95,Suburban,8.84,No,0.0,3.98,-9.369999999999997,-9.21
TXN_004914,2023-07-01 10:05:00,1,CUST_17947,New,Electronics,216.71,1,11.95,190.81,134.44,70.46,Credit Card,5.53,Urban,5.03,No,0.0,4.15,45.81,24.01
TXN_014782,2023-07-01 10:11:34,1,CUST_08173,Returning,Electronics,337.26,5,7.77,1555.27,1173.39,75.45,PayPal,52.88,Suburban,8.93,No,0.0,4.58,320.0699999999999,20.58
TXN_014622,2023-07-01 10:32:39,1,CUST_20761,New,Home Goods,23.68,1,12.81,20.65,15.38,74.48,PayPal,0.7,Suburban,8.37,No,0.0,3.82,-3.8000000000000016,-18.4
TXN_017443,2023-07-01 10:35:54,1,CUST_12281,Returning,Home Goods,127.55,3,9.54,346.15,301.88,87.21,PayPal,11.77,Suburban,8.44,No,0.0,4.6,24.059999999999988,6.95
TXN_011079,2023-07-01 10:36:01,1,CUST_23831,Returning,Electronics,383.14,5,9.1,1741.37,1316.78,75.62,PayPal,59.21,Urban,5.68,No,0.0,4.74,359.69999999999993,20.66
TXN_000309,2023-07-01 10:45:41,1,CUST_23523,Returning,Electronics,177.68,3,6.94,496.05,353.93,71.35,PayPal,16.87,Urban,6.88,Yes,11.8,3.42,106.57000000000001,21.48
TXN_016088,2023-07-01 10:46:20,1,CUST_07338,New,Clothing,135.78,1,12.7,118.54,104.97,88.55,PayPal,4.03,Suburban,7.03,No,0.0,3.91,2.510000000000006,2.12
TXN_011816,2023-07-01 10:48:09,1,CUST_01534,Returning,Clothing,139.81,4,8.16,513.61,448.26,87.28,Gift Card,0.0,Suburban,8.72,No,0.0,4.43,56.630000000000024,11.03
TXN_018681,2023-07-01 10:55:40,1,CUST_09066,New,Clothing,91.4,1,9.5,82.72,69.55,84.08,Credit Card,2.4,Urban,5.41,Yes,12.19,3.72,-6.829999999999998,-8.26
TXN_016949,2023-07-01 11:00:08,1,CUST_05329,Returning,Electronics,301.59,4,2.12,1180.79,782.14,66.24,PayPal,40.15,Rural,10.2,No,0.0,4.38,348.3,29.5
TXN_005281,2023-07-01 11:02:04,1,CUST_20548,Returning,Clothing,76.89,2,0.31,153.3,118.68,77.42,PayPal,5.21,Urban,6.65,No,0.0,4.34,22.760000000000005,14.85
TXN_012494,2023-07-01 11:05:38,1,CUST_15082,New,Home Goods,89.11,1,9.83,80.35,54.66,68.03,Credit Card,2.33,Urban,5.27,No,0.0,4.3,18.09,22.51
TXN_000795,2023-07-01 11:06:46,1,CUST_10810,Returning,Electronics,393.87,2,2.51,767.97,525.41,68.42,Gift Card,0.0,Suburban,8.07,No,0.0,4.71,234.49000000000007,30.53
TXN_014726,2023-07-01 11:07:36,1,CUST_17705,Returning,Clothing,80.28,3,9.57,217.79,195.04,89.55,PayPal,7.4,Suburban,10.0,No,0.0,4.4,5.35,2.46
TXN_016424,2023-07-01 11:08:38,1,CUST_05178,New,Electronics,474.1,2,6.32,888.27,587.31,66.12,Credit Card,25.76,Suburban,7.76,No,0.0,4.36,267.44000000000005,30.11
TXN_006489,2023-07-01 11:09:16,1,CUST_08373,Returning,Electronics,492.29,2,8.87,897.25,594.95,66.31,PayPal,30.51,Suburban,8.19,No,0.0,4.2,263.59999999999997,29.38
TXN_016154,2023-07-01 11:10:48,1,CUST_01038,Returning,Electronics,383.59,4,9.1,1394.73,924.34,66.27,PayPal,47.42,Rural,13.29,No,0.0,4.37,409.67999999999995,29.37
TXN_002861,2023-07-01 11:11:18,1,CUST_20324,Returning,Home Goods,38.88,4,9.68,140.47,92.28,65.69,Gift Card,0.0,Suburban,7.58,No,0.0,4.28,40.61,28.91
TXN_016448,2023-07-01 11:16:40,1,CUST_13568,Returning,Electronics,245.96,2,0.29,490.49,314.44,64.11,PayPal,16.68,Urban,6.08,No,0.0,4.4,153.29,31.25
TXN_005749,2023-07-01 11:18:02,1,CUST_22013,New,Clothing,75.03,1,12.07,65.97,59.7,90.5,Credit Card,1.91,Urban,6.86,No,0.0,3.82,-2.5000000000000044,-3.79
TXN_004381,2023-07-01 11:18:22,1,CUST_03500,Returning,Home Goods,30.75,1,8.4,28.17,17.91,63.58,Credit Card,0.82,Urban,6.76,Yes,12.29,3.39,-9.609999999999998,-34.11
TXN_009947,2023-07-01 11:19:19,1,CUST_23589,Returning,Clothing,108.04,2,2.3,211.11,164.08,77.72,PayPal,7.18,Suburban,8.01,No,0.0,4.47,31.840000000000003,15.08
TXN_007135,2023-07-01 11:22:58,1,CUST_16476,Returning,Electronics,53.03,1,9.23,48.14,31.92,66.31,Credit Card,1.4,Urban,6.15,No,0.0,4.8,8.669999999999998,18.01
TXN_013188,2023-07-01 11:23:35,1,CUST_00253,New,Clothing,50.39,1,13.63,43.52,39.64,91.08,Credit Card,1.26,Urban,5.11,No,0.0,4.07,-2.4899999999999975,-5.72
TXN_018379,2023-07-01 11:25:28,1,CUST_06665,Returning,Electronics,371.18,3,4.91,1058.87,737.36,69.64,PayPal,36.0,Suburban,9.78,No,0.0,4.75,275.7299999999999,26.04
TXN_007322,2023-07-01 11:32:09,1,CUST_01689,Returning,Clothing,116.7,4,2.41,455.55,392.04,86.06,PayPal,15.49,Suburban,8.14,No,0.0,4.26,39.87999999999999,8.75
TXN_009523,2023-07-01 11:32:38,1,CUST_08810,Returning,Electronics,241.71,2,0.01,483.37,300.9,62.25,PayPal,16.43,Suburban,8.38,No,0.0,4.18,157.66000000000003,32.62
TXN_011082,2023-07-01 11:33:26,1,CUST_17127,New,Electronics,116.1,1,10.22,104.23,80.75,77.47,PayPal,3.54,Rural,13.83,No,0.0,3.86,6.110000000000005,5.86
TXN_000846,2023-07-01 11:43:40,1,CUST_01744,Returning,Home Goods,83.21,1,6.96,77.42,60.47,78.11,PayPal,2.63,Suburban,8.0,Yes,16.73,3.18,-10.409999999999997,-13.45
TXN_003067,2023-07-01 11:50:24,1,CUST_09174,New,Clothing,141.04,1,10.71,125.93,115.36,91.61,PayPal,4.28,Rural,12.63,Yes,10.01,3.61,-16.349999999999994,-12.98
TXN_006248,2023-07-01 11:51:19,1,CUST_22851,New,Electronics,447.84,1,5.38,423.75,310.77,73.34,PayPal,14.41,Urban,5.94,Yes,16.59,3.18,76.04000000000002,17.94
TXN_007184,2023-07-01 11:53:22,1,CUST_10020,New,Clothing,37.19,1,9.72,33.58,28.79,85.74,PayPal,1.14,Rural,13.69,Yes,11.93,3.37,-21.97,-65.43
TXN_009672,2023-07-01 11:55:05,1,CUST_14494,New,Clothing,40.77,1,11.28,36.17,33.39,92.31,Credit Card,1.05,Rural,11.45,No,0.0,4.34,-9.719999999999999,-26.87
TXN_017107,2023-07-01 11:57:40,1,CUST_18249,Returning,Electronics,239.19,2,0.86,474.27,297.35,62.7,PayPal,16.13,Suburban,9.13,No,0.0,4.38,151.65999999999997,31.98
TXN_003682,2023-07-01 12:00:35,1,CUST_15140,Returning,Home Goods,50.52,1,8.26,46.35,40.16,86.65,Credit Card,1.34,Rural,11.75,No,0.0,4.54,-6.899999999999995,-14.89
TXN_011266,2023-07-01 12:05:52,1,CUST_20960,New,Electronics,335.51,2,6.51,627.34,407.64,64.98,Credit Card,18.19,Urban,6.32,No,0.0,4.07,195.19000000000005,31.11
TXN_004998,2023-07-01 12:10:36,1,CUST_08594,Returning,Electronics,383.12,2,3.3,740.95,504.5,68.09,Credit Card,21.49,Urban,5.31,No,0.0,4.08,209.65000000000003,28.29
TXN_001281,2023-07-01 12:18:57,1,CUST_18263,Returning,Electronics,297.55,5,8.57,1360.25,935.33,68.76,PayPal,46.25,Urban,6.13,No,0.0,4.09,372.53999999999996,27.39
TXN_017867,2023-07-01 12:24:01,1,CUST_15490,Returning,Home Goods,167.88,3,2.18,492.66,360.61,73.2,PayPal,16.75,Urban,6.49,No,0.0,4.18,108.81000000000002,22.09
TXN_015244,2023-07-01 12:25:16,1,CUST_20807,Returning,Clothing,143.5,3,5.8,405.53,343.37,84.67,Credit Card,11.76,Suburban,8.33,No,0.0,4.52,42.06999999999997,10.37
TXN_009830,2023-07-01 12:27:08,1,CUST_19545,Returning,Home Goods,184.26,3,4.18,529.67,405.75,76.6,Credit Card,15.36,Urban,5.56,No,0.0,4.73,102.99999999999996,19.45
TXN_016305,2023-07-01 12:29:36,1,CUST_17343,New,Electronics,247.94,2,12.25,435.13,339.33,77.98,PayPal,14.79,Suburban,8.22,No,0.0,4.11,72.79000000000002,16.73
TXN_002138,2023-07-01 12:33:24,1,CUST_23636,Returning,Electronics,430.91,3,5.94,1215.94,816.11,67.12,PayPal,41.34,Rural,11.25,Yes,12.77,3.84,334.47,27.51
TXN_001856,2023-07-01 12:37:06,1,CUST_12796,Returning,Electronics,147.31,2,9.28,267.28,199.16,74.51,PayPal,9.09,Urban,6.54,No,0.0,4.13,52.489999999999974,19.64
TXN_015708,2023-07-01 12:40:17,1,CUST_23960,New,Clothing,32.52,1,5.75,30.65,26.05,84.99,PayPal,1.04,Urban,5.18,No,0.0,4.21,-1.6200000000000019,-5.29
TXN_015163,2023-07-01 12:42:15,1,CUST_22606,New,Clothing,122.21,1,8.38,111.97,98.87,88.3,PayPal,3.81,Rural,11.47,No,0.0,4.11,-2.180000000000007,-1.95
TXN_016115,2023-07-01 12:51:13,1,CUST_20276,New,Clothing,40.29,1,12.62,35.21,30.89,87.73,Credit Card,1.02,Suburban,8.24,Yes,19.3,3.52,-24.240000000000002,-68.84
TXN_008262,2023-07-01 12:56:33,1,CUST_14361,Returning,Home Goods,79.43,2,4.67,151.44,83.93,55.42,PayPal,5.15,Urban,6.87,No,0.0,4.56,55.489999999999995,36.64
TXN_011030,2023-07-01 12:58:46,1,CUST_04619,Returning,Electronics,179.37,4,3.24,694.23,479.1,69.01,PayPal,23.6,Urban,6.29,No,0.0,4.03,185.24,26.68
TXN_001053,2023-07-01 13:04:01,1,CUST_12123,Returning,Clothing,109.72,4,6.89,408.64,336.16,82.26,PayPal,13.89,Suburban,9.52,Yes,14.83,3.94,34.23999999999997,8.38
TXN_003514,2023-07-01 13:05:03,1,CUST_03835,Returning,Electronics,492.61,1,6.23,461.92,339.75,73.55,Credit Card,13.4,Urban,5.34,No,0.0,4.27,103.43,22.39
TXN_008320,2023-07-01 13:08:28,1,CUST_24583,Returning,Home Goods,51.94,2,0.07,103.81,77.55,74.7,PayPal,3.53,Urban,5.42,No,0.0,4.11,17.310000000000002,16.67
TXN_003103,2023-07-01 13:09:00,1,CUST_21571,New,Electronics,499.81,2,14.3,856.67,692.18,80.8,PayPal,29.13,Suburban,8.29,No,0.0,4.35,127.07000000000002,14.83
TXN_014697,2023-07-01 13:09:29,1,CUST_04577,Returning,Electronics,220.16,2,3.47,425.04,295.01,69.41,PayPal,14.45,Urban,6.29,No,0.0,4.76,109.29000000000002,25.71
TXN_010531,2023-07-01 13:10:05,1,CUST_03795,Returning,Electronics,117.68,2,0.43,234.35,159.84,68.21,PayPal,7.97,Urban,5.1,No,0.0,4.23,61.43999999999999,26.22
TXN_017426,2023-07-01 13:14:25,1,CUST_12593,Returning,Electronics,281.83,3,8.29,775.4,555.96,71.7,PayPal,26.36,Urban,6.28,No,0.0,4.18,186.79999999999993,24.09
TXN_014133,2023-07-01 13:20:43,1,CUST_04114,Returning,Home Goods,131.82,2,7.86,242.92,195.62,80.53,PayPal,8.26,Suburban,8.26,No,0.0,4.61,30.779999999999987,12.67
TXN_010970,2023-07-01 13:24:45,1,CUST_24505,Returning,Home Goods,176.32,2,7.27,327.0,245.03,74.93,PayPal,11.12,Urban,5.7,No,0.0,4.25,65.14999999999999,19.92
TXN_004760,2023-07-01 13:25:05,1,CUST_21950,New,Clothing,21.39,1,11.29,18.98,17.81,93.84,Credit Card,0.55,Urban,5.74,No,0.0,4.35,-5.119999999999998,-26.98
TXN_010960,2023-07-01 13:28:30,1,CUST_03613,New,Clothing,148.97,2,6.62,278.22,241.78,86.9,PayPal,9.46,Rural,10.94,No,0.0,4.04,16.040000000000028,5.77
TXN_006252,2023-07-01 13:35:14,1,CUST_06291,Returning,Home Goods,132.91,3,7.0,370.82,217.77,58.73,Credit Card,10.75,Rural,13.39,No,0.0,4.47,128.90999999999997,34.76
TXN_014553,2023-07-01 13:38:19,1,CUST_23707,Returning,Home Goods,120.02,3,2.67,350.45,274.12,78.22,PayPal,11.92,Urban,6.39,No,0.0,4.79,58.01999999999998,16.56
TXN_016360,2023-07-01 13:41:15,1,CUST_10587,Returning,Clothing,62.8,4,8.87,228.92,205.44,89.74,PayPal,7.78,Urban,6.99,No,0.0,4.8,8.709999999999988,3.8
TXN_008373,2023-07-01 13:41:55,1,CUST_02743,New,Home Goods,78.31,1,10.45,70.13,59.02,84.16,PayPal,2.38,Rural,12.54,No,0.0,4.2,-3.810000000000006,-5.43
TXN_012379,2023-07-01 13:42:11,1,CUST_19074,Returning,Home Goods,171.55,4,9.28,622.52,511.65,82.19,PayPal,21.17,Urban,5.06,No,0.0,4.48,84.64,13.6
TXN_016952,2023-07-01 13:47:57,1,CUST_10419,Returning,Home Goods,55.03,2,9.75,99.33,82.49,83.05,PayPal,3.38,Suburban,8.1,No,0.0,4.12,5.360000000000005,5.4
TXN_011306,2023-07-01 13:49:45,1,CUST_21522,Returning,Clothing,69.68,2,3.27,134.8,116.63,86.52,Credit Card,3.91,Suburban,8.65,No,0.0,4.67,5.610000000000015,4.16
TXN_013367,2023-07-01 13:55:51,1,CUST_00590,New,Electronics,319.83,1,5.38,302.62,205.22,67.81,Credit Card,8.78,Urban,5.57,No,0.0,4.38,83.05000000000001,27.44
TXN_000746,2023-07-01 13:59:31,1,CUST_20700,Returning,Electronics,495.88,2,5.84,933.84,621.41,66.54,Gift Card,0.0,Suburban,8.47,No,0.0,4.25,303.96000000000004,32.55
TXN_006889,2023-07-01 14:00:51,1,CUST_10688,Returning,Clothing,65.68,3,5.53,186.14,155.68,83.64,PayPal,6.33,Urban,5.88,No,0.0,4.59,18.249999999999982,9.8
TXN_007257,2023-07-01 14:05:01,1,CUST_24066,New,Electronics,283.25,1,10.31,254.05,185.98,73.21,PayPal,8.64,Rural,14.7,No,0.0,4.25,44.73000000000002,17.61
TXN_011168,2023-07-01 14:07:52,1,CUST_12019,New,Clothing,113.76,3,12.98,296.98,290.02,97.66,Gift Card,0.0,Urban,6.57,Yes,10.62,3.82,-10.229999999999963,-3.44
TXN_004055,2023-07-01 14:09:17,1,CUST_17171,Returning,Clothing,20.42,1,4.87,19.43,17.01,87.55,PayPal,0.66,Urban,6.86,No,0.0,4.32,-5.100000000000002,-26.25
TXN_009311,2023-07-01 14:10:46,1,CUST_13344,Returning,Home Goods,192.34,2,4.54,367.22,194.91,53.08,PayPal,12.49,Urban,6.4,No,0.0,4.64,153.42000000000002,41.78
TXN_007128,2023-07-01 14:14:26,1,CUST_05585,Returning,Electronics,197.42,2,9.46,357.49,266.2,74.46,PayPal,12.15,Suburban,9.8,No,0.0,4.62,69.34000000000002,19.4
TXN_016286,2023-07-01 14:14:38,1,CUST_21478,Returning,Clothing,54.41,1,7.65,50.25,46.13,91.8,PayPal,1.71,Suburban,9.24,No,0.0,4.62,-6.830000000000003,-13.59
TXN_006824,2023-07-01 14:17:55,1,CUST_03725,Returning,Clothing,70.25,3,3.62,203.12,171.05,84.21,PayPal,6.91,Urban,6.56,No,0.0,4.73,18.599999999999994,9.16
TXN_016238,2023-07-01 14:25:03,1,CUST_10715,Returning,Clothing,92.34,4,3.77,355.44,283.53,79.77,PayPal,12.08,Suburban,9.7,No,0.0,4.53,50.130000000000024,14.1
TXN_010571,2023-07-01 14:31:13,1,CUST_09123,New,Electronics,307.32,2,8.48,562.52,387.58,68.9,PayPal,19.13,Urban,6.17,No,0.0,4.11,149.64000000000001,26.6
TXN_000570,2023-07-01 14:43:41,1,CUST_24544,Returning,Electronics,194.2,4,1.77,763.05,473.61,62.07,PayPal,25.94,Urban,6.13,No,0.0,4.68,257.36999999999995,33.73
TXN_008536,2023-07-01 14:43:58,1,CUST_12969,Returning,Home Goods,192.06,4,1.45,757.1,500.29,66.08,Credit Card,21.96,Urban,5.9,No,0.0,4.33,228.95,30.24
TXN_007235,2023-07-01 14:44:28,1,CUST_09911,New,Electronics,139.1,1,12.14,122.21,84.9,69.47,PayPal,4.16,Urban,5.52,No,0.0,4.29,27.629999999999992,22.61
TXN_006604,2023-07-01 14:48:06,1,CUST_23899,Returning,Home Goods,25.58,3,8.36,70.32,60.44,85.95,Credit Card,2.04,Suburban,9.55,No,0.0,4.28,-1.7100000000000053,-2.43
TXN_012517,2023-07-01 14:53:02,1,CUST_01289,New,Home Goods,84.64,1,6.76,78.92,50.53,64.03,Credit Card,2.29,Urban,6.85,No,0.0,4.11,19.25,24.39
TXN_016298,2023-07-01 15:01:32,1,CUST_00941,Returning,Electronics,124.92,2,5.63,235.77,159.5,67.65,PayPal,8.02,Suburban,8.03,No,0.0,4.4,60.22000000000001,25.54
TXN_016097,2023-07-01 15:04:41,1,CUST_15203,Returning,Clothing,84.35,1,1.55,83.04,69.43,83.61,PayPal,2.82,Urban,5.84,No,0.0,4.52,4.949999999999999,5.96
TXN_014592,2023-07-01 15:07:50,1,CUST_13372,New,Clothing,92.87,1,13.76,80.09,74.33,92.81,PayPal,2.72,Urban,5.62,Yes,11.43,3.42,-14.009999999999994,-17.49
TXN_012382,2023-07-01 15:08:22,1,CUST_24465,New,Clothing,103.11,1,7.08,95.81,83.12,86.76,PayPal,3.26,Rural,13.08,Yes,10.12,2.94,-13.770000000000001,-14.37
TXN_004498,2023-07-01 15:08:57,1,CUST_01616,Returning,Electronics,299.23,1,7.08,278.04,179.65,64.61,Credit Card,8.06,Suburban,9.0,No,0.0,4.67,81.33000000000001,29.25
TXN_001008,2023-07-01 15:11:36,1,CUST_05073,Returning,Home Goods,184.38,4,4.98,700.79,438.16,62.52,PayPal,23.83,Suburban,8.16,No,0.0,4.32,230.63999999999996,32.91
TXN_017922,2023-07-01 15:16:08,1,CUST_19632,New,Clothing,55.98,1,5.98,52.63,43.18,82.04,PayPal,1.79,Urban,5.37,No,0.0,4.03,2.2900000000000027,4.35
TXN_006338,2023-07-01 15:17:47,1,CUST_17728,Returning,Clothing,139.13,2,1.04,275.37,215.84,78.38,Gift Card,0.0,Suburban,7.32,No,0.0,4.7,52.21,18.96
TXN_007003,2023-07-01 15:20:11,1,CUST_19424,Returning,Electronics,130.45,2,6.17,244.8,171.06,69.88,PayPal,8.32,Urban,6.35,No,0.0,4.21,59.070000000000014,24.13
TXN_005821,2023-07-01 15:23:56,1,CUST_12037,New,Home Goods,177.68,1,12.02,156.32,132.37,84.68,PayPal,5.31,Urban,5.41,No,0.0,4.19,13.22999999999999,8.46
TXN_006686,2023-07-01 15:40:01,1,CUST_20309,New,Clothing,148.6,1,7.24,137.84,124.47,90.3,PayPal,4.69,Urban,6.56,No,0.0,4.08,2.1200000000000037,1.54
TXN_004890,2023-07-01 15:41:00,1,CUST_02264,Returning,Clothing,61.38,2,4.4,117.36,95.49,81.37,Credit Card,3.4,Urban,6.08,No,0.0,4.78,12.390000000000006,10.56
TXN_007068,2023-07-01 15:42:52,1,CUST_17944,Returning,Electronics,466.83,2,5.82,879.32,577.47,65.67,Credit Card,25.5,Urban,6.66,No,0.0,4.63,269.69,30.67
TXN_001077,2023-07-01 15:45:51,1,CUST_14846,New,Clothing,65.64,3,11.99,173.31,153.13,88.36,PayPal,5.89,Rural,14.4,No,0.0,4.18,-0.1099999999999941,-0.06
TXN_018069,2023-07-01 15:57:04,1,CUST_02403,Returning,Clothing,68.5,2,7.66,126.51,107.58,85.04,Credit Card,3.67,Urban,5.7,No,0.0,4.6,9.560000000000006,7.56
TXN_001431,2023-07-01 15:58:18,1,CUST_17637,Returning,Electronics,267.31,1,7.32,247.74,173.3,69.95,PayPal,8.42,Suburban,9.33,No,0.0,4.3,56.69,22.88
TXN_018128,2023-07-01 15:59:45,1,CUST_12919,Returning,Electronics,331.99,3,6.22,934.02,682.94,73.12,PayPal,31.76,Urban,6.84,No,0.0,4.38,212.47999999999993,22.75
TXN_012267,2023-07-01 16:00:56,1,CUST_06119,Returning,Clothing,37.01,2,8.61,67.65,59.4,87.8,PayPal,2.3,Suburban,8.52,Yes,16.75,3.67,-19.319999999999993,-28.56
TXN_003520,2023-07-01 16:02:30,1,CUST_16360,Returning,Clothing,100.2,1,3.71,96.48,77.56,80.39,Credit Card,2.8,Suburban,9.31,No,0.0,4.16,6.8100000000000005,7.06
TXN_011925,2023-07-01 16:03:51,1,CUST_10349,New,Clothing,43.84,1,13.71,37.83,36.71,97.04,PayPal,1.29,Rural,12.94,No,0.0,4.03,-13.110000000000003,-34.66
TXN_010605,2023-07-01 16:06:42,1,CUST_10706,New,Clothing,64.14,1,14.26,54.99,48.14,87.54,PayPal,1.87,Rural,10.58,No,0.0,4.4,-5.599999999999999,-10.18
TXN_012884,2023-07-01 16:08:09,1,CUST_22697,Returning,Clothing,88.12,2,2.46,171.9,145.61,84.71,PayPal,5.84,Suburban,9.12,No,0.0,4.59,11.329999999999993,6.59
